Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=0, Messcount=0, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=2, Messcount=1, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=4, Messcount=2, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=6, Messcount=3, initiator=0, flag=false, path=[]]
---------------------------------------------------------Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=8, Messcount=4, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=10, Messcount=5, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=12, Messcount=6, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=14, Messcount=7, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=16, Messcount=8, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=18, Messcount=9, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=20, Messcount=10, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=22, Messcount=11, initiator=0, flag=false, path=[]]
Message [senderId=1, receiverId=0, tag=AppMessage, body=Hey this is test message, messageId=24, Messcount=12, initiator=0, flag=false, path=[]]
---------------------------------------------------------
